age_years,gender,ssc_percentage,hsc_percentage,degree_percentage,degree_specialization,technical_score,aptitude_score,communication_score,skills_match_percentage,certifications_count,internship_experience,years_of_experience,career_switch_willingness,relevant_experience,previous_ctc_lpa,expected_ctc_lpa,company_tier,job_role_match,competition_level,bond_requirement,notice_period_days,layoff_history,employment_gap_months,relocation_willingness,status
33,Female,84.545,80.333,77.736,Mechanical,62.973,71.225,63.309,73.748,1,Yes,1,Not Willing,Relevant,6.222,8.049,Tier 3,Matched,Low,Not Required,0,No,6,Willing,Placed
32,Male,80.214,76.633,87.091,Mechanical,61.819,60.378,80.887,90.994,0,No,2,Willing,Not Relevant,5.615,11.86,Tier 1,Matched,Medium,Not Required,0,No,12,Not Willing,Not Placed
29,Male,60.343,89.252,76.531,Computer Science,68.387,45.963,75.379,78.27,0,Yes,1,Not Willing,Relevant,6.855,8.918,Tier 1,Matched,High,Not Required,0,No,0,Willing,Placed
21,Female,75.781,72.061,73.163,Information Technology,56.226,65.111,82.682,78.805,1,No,0,Not Willing,Relevant,4.396,5.391,Tier 2,Matched,Medium,Required,30,No,3,Willing,Not Placed
31,Female,78.408,66.302,65.545,Computer Science,48.485,68.589,81.677,60.146,4,No,0,Not Willing,Relevant,5.445,11.643,Tier 1,Matched,Low,Not Required,15,No,0,Willing,Not Placed
31,Female,56.589,77.83,68.988,Others,57.059,58.542,69.953,69.631,1,No,3,Willing,Not Relevant,3.122,8.075,Tier 1,Matched,Low,Not Required,15,No,0,Willing,Not Placed
30,Male,67.931,68.465,74.697,Computer Science,75.954,66.622,79.874,94.921,1,Yes,3,Not Willing,Not Relevant,4.165,9.78,Tier 1,Not Matched,Low,Not Required,15,No,6,Not Willing,Placed
32,Male,65.703,64.243,80.433,Mechanical,76.285,42.057,77.527,58.552,1,No,2,Not Willing,Relevant,1.0,9.233,Tier 3,Matched,Medium,Not Required,90,No,3,Willing,Not Placed
32,Male,78.697,84.074,85.818,Electronics,65.985,66.008,78.377,71.457,3,Yes,1,Not Willing,Relevant,7.256,5.833,Tier 2,Not Matched,Low,Not Required,0,Yes,6,Willing,Not Placed
34,Male,62.784,79.97,72.91,Computer Science,77.769,73.625,94.437,57.894,1,Yes,1,Not Willing,Relevant,2.06,5.147,Tier 2,Not Matched,Medium,Required,30,No,0,Willing,Not Placed
34,Male,72.119,61.762,78.807,Information Technology,73.012,85.055,60.182,84.566,1,Yes,0,Not Willing,Relevant,4.906,3.0,Tier 2,Matched,Medium,Required,90,No,0,Not Willing,Placed
34,Male,85.478,68.495,82.031,Computer Science,55.722,64.301,98.961,79.364,0,Yes,0,Not Willing,Relevant,1.5,7.009,Tier 1,Not Matched,Medium,Not Required,15,No,0,Willing,Not Placed
23,Female,53.768,77.835,85.635,Mechanical,87.349,62.089,57.371,74.628,0,No,3,Not Willing,Relevant,7.937,11.27,Tier 2,Matched,High,Required,30,No,0,Willing,Placed
32,Female,70.764,69.54,85.887,Computer Science,80.331,66.401,83.797,78.21,1,Yes,0,Not Willing,Relevant,6.085,14.012,Tier 2,Matched,Low,Required,0,No,12,Not Willing,Not Placed
27,Male,71.034,72.061,88.912,Computer Science,59.393,58.962,72.978,89.749,3,Yes,0,Not Willing,Relevant,4.359,8.052,Tier 1,Matched,Low,Not Required,60,Yes,0,Willing,Not Placed
24,Female,50.192,84.566,72.457,Computer Science,72.273,58.591,71.343,55.919,2,No,0,Willing,Not Relevant,4.411,5.932,Tier 1,Matched,Low,Not Required,30,No,6,Willing,Not Placed
29,Female,56.6,76.402,74.515,Others,75.089,72.06,74.976,66.937,1,No,0,Not Willing,Not Relevant,1.0,4.683,Tier 2,Matched,Low,Not Required,0,No,0,Willing,Not Placed
23,Female,70.003,81.971,69.995,Mechanical,74.683,64.364,67.244,76.772,5,No,1,Not Willing,Relevant,4.005,3.0,Tier 3,Matched,Low,Not Required,0,No,0,Willing,Not Placed
25,Male,69.548,72.907,71.315,Electronics,64.258,63.74,49.751,78.941,3,No,0,Not Willing,Relevant,3.504,4.293,Tier 3,Matched,Low,Not Required,0,Yes,6,Willing,Not Placed
23,Female,71.565,74.245,78.915,Electronics,61.644,78.505,64.622,92.768,0,Yes,5,Willing,Relevant,1.72,7.873,Tier 2,Matched,Low,Not Required,0,Yes,0,Not Willing,Placed
27,Female,68.833,67.946,88.349,Computer Science,68.382,69.737,60.592,83.12,2,Yes,2,Not Willing,Not Relevant,1.447,8.786,Tier 3,Matched,Medium,Not Required,90,No,3,Willing,Not Placed
25,Male,79.959,66.739,69.936,Mechanical,56.192,63.63,60.841,88.966,1,No,2,Not Willing,Not Relevant,6.655,9.951,Tier 2,Matched,High,Not Required,0,No,3,Not Willing,Not Placed
29,Male,89.226,82.076,74.107,Information Technology,62.898,62.185,77.162,68.76,1,Yes,2,Willing,Relevant,6.485,7.944,Tier 2,Matched,Low,Not Required,30,Yes,0,Willing,Placed
27,Male,78.916,73.948,66.411,Others,56.821,68.403,72.539,68.341,1,Yes,0,Not Willing,Relevant,6.638,8.408,Tier 1,Matched,Medium,Not Required,30,Yes,0,Willing,Not Placed
22,Female,51.221,66.732,77.923,Mechanical,64.734,49.264,92.485,69.516,4,No,0,Willing,Not Relevant,5.127,8.602,Tier 1,Matched,Low,Not Required,15,No,0,Willing,Not Placed
24,Female,69.711,77.804,83.108,Others,95.347,65.895,49.852,99.36,0,No,2,Not Willing,Relevant,5.828,3.64,Tier 1,Not Matched,Medium,Not Required,15,No,0,Willing,Placed
29,Female,81.305,58.408,58.38,Others,40.0,64.685,85.214,64.614,2,Yes,0,Not Willing,Relevant,10.13,4.426,Tier 1,Matched,Low,Not Required,90,No,6,Not Willing,Not Placed
32,Male,66.568,64.526,66.222,Others,61.198,64.451,53.779,59.641,4,No,4,Not Willing,Relevant,3.314,4.485,Tier 2,Matched,Medium,Required,30,No,0,Not Willing,Not Placed
34,Male,81.364,73.449,86.742,Others,43.129,50.987,79.058,78.027,4,Yes,0,Not Willing,Relevant,4.871,10.035,Tier 2,Not Matched,Low,Not Required,0,No,0,Willing,Not Placed
22,Male,67.304,85.662,77.527,Electronics,78.913,80.136,63.42,58.174,3,Yes,5,Not Willing,Relevant,3.248,6.309,Tier 2,Matched,High,Not Required,0,No,3,Willing,Placed
30,Female,59.982,68.824,78.602,Others,91.998,49.465,65.461,72.425,1,No,3,Not Willing,Relevant,5.261,8.842,Tier 2,Matched,Low,Not Required,60,No,6,Willing,Not Placed
29,Female,75.767,57.084,73.425,Electronics,87.94,60.467,76.256,88.185,0,No,1,Not Willing,Relevant,4.282,5.055,Tier 1,Matched,Low,Not Required,0,No,3,Willing,Placed
30,Female,73.662,77.854,69.498,Computer Science,75.779,59.828,69.73,97.778,3,Yes,5,Not Willing,Not Relevant,3.536,4.907,Tier 2,Matched,Medium,Not Required,0,Yes,6,Willing,Placed
25,Male,65.19,80.771,75.357,Electronics,72.634,61.875,79.141,91.17,1,No,3,Willing,Relevant,5.689,9.649,Tier 2,Matched,Medium,Not Required,0,No,0,Not Willing,Placed
22,Male,80.406,62.583,69.647,Mechanical,68.428,74.054,67.296,76.724,2,Yes,1,Willing,Not Relevant,2.786,7.978,Tier 1,Matched,High,Not Required,0,No,12,Willing,Not Placed
24,Female,55.162,81.778,80.755,Information Technology,54.932,76.781,58.916,92.085,1,Yes,3,Willing,Not Relevant,4.378,3.0,Tier 2,Matched,Medium,Not Required,30,No,6,Willing,Not Placed
32,Female,78.416,85.958,72.115,Mechanical,100.0,56.973,75.384,60.579,0,Yes,2,Not Willing,Relevant,1.216,3.0,Tier 2,Matched,Low,Not Required,0,Yes,6,Willing,Placed
32,Female,65.628,63.184,81.192,Mechanical,70.022,69.4,81.314,69.147,1,No,0,Willing,Not Relevant,2.094,8.232,Tier 2,Not Matched,Medium,Not Required,0,Yes,6,Willing,Not Placed
27,Male,84.07,65.468,79.361,Others,81.181,82.616,47.49,69.367,1,Yes,3,Not Willing,Relevant,3.007,9.862,Tier 2,Matched,High,Not Required,0,No,0,Willing,Not Placed
32,Female,76.541,70.045,85.311,Information Technology,67.716,92.283,75.253,81.756,1,No,0,Willing,Relevant,1.568,8.62,Tier 1,Matched,Medium,Not Required,0,No,0,Willing,Not Placed
33,Male,67.236,64.996,76.182,Mechanical,90.65,60.859,65.221,83.416,2,Yes,1,Not Willing,Not Relevant,8.44,4.048,Tier 3,Matched,Low,Not Required,15,Yes,3,Willing,Placed
28,Female,62.271,74.219,75.759,Mechanical,67.355,62.191,76.842,78.342,2,No,1,Not Willing,Relevant,5.1,7.563,Tier 1,Matched,Medium,Not Required,15,No,6,Willing,Placed
23,Female,57.041,75.846,76.739,Mechanical,58.827,63.318,60.083,78.167,0,No,2,Not Willing,Relevant,3.32,7.131,Tier 2,Matched,Low,Required,60,No,0,Willing,Not Placed
34,Female,69.379,84.865,80.835,Computer Science,64.32,61.996,81.609,59.881,0,No,4,Not Willing,Relevant,2.932,9.105,Tier 1,Matched,Medium,Not Required,0,No,0,Willing,Placed
21,Female,70.446,78.293,70.18,Information Technology,84.08,77.508,66.91,85.3,1,Yes,5,Not Willing,Not Relevant,7.924,9.428,Tier 1,Matched,Medium,Not Required,30,No,0,Willing,Placed
24,Female,78.422,56.069,63.754,Mechanical,69.853,56.259,59.388,80.743,2,No,0,Not Willing,Relevant,1.0,10.116,Tier 2,Matched,Medium,Not Required,0,No,3,Not Willing,Not Placed
22,Female,64.228,72.061,76.647,Information Technology,59.159,49.817,61.696,64.907,1,Yes,2,Not Willing,Not Relevant,3.007,11.617,Tier 2,Matched,Medium,Not Required,15,Yes,3,Willing,Not Placed
28,Female,72.915,52.906,75.084,Mechanical,54.275,72.19,71.956,100.0,0,No,2,Not Willing,Relevant,1.0,8.124,Tier 3,Matched,Low,Not Required,90,Yes,0,Willing,Not Placed
24,Female,67.149,71.524,61.763,Others,87.685,69.951,62.813,79.48,1,Yes,1,Not Willing,Relevant,2.444,5.253,Tier 2,Matched,Low,Not Required,15,No,3,Willing,Placed
22,Female,81.988,67.071,80.651,Electronics,74.522,54.534,56.577,63.07,0,Yes,0,Not Willing,Relevant,3.459,12.294,Tier 2,Matched,Low,Not Required,15,No,0,Willing,Not Placed
34,Female,68.974,75.964,88.6,Electronics,69.63,82.095,74.717,73.835,1,No,4,Willing,Not Relevant,4.095,5.057,Tier 1,Matched,High,Not Required,0,No,18,Willing,Placed
26,Male,64.15,64.357,62.384,Electronics,67.85,62.356,75.746,71.026,0,No,3,Willing,Not Relevant,3.062,9.413,Tier 1,Matched,Medium,Not Required,0,No,3,Willing,Not Placed
26,Male,60.402,71.026,68.751,Electronics,75.971,63.819,61.453,76.391,3,Yes,0,Not Willing,Not Relevant,3.399,5.688,Tier 1,Matched,Low,Not Required,15,No,0,Not Willing,Not Placed
30,Female,66.378,75.63,67.742,Information Technology,83.281,58.752,77.307,71.538,3,No,0,Not Willing,Relevant,7.48,14.813,Tier 1,Matched,Medium,Not Required,0,No,18,Willing,Not Placed
24,Female,68.132,67.634,77.31,Electronics,66.775,64.551,57.987,80.003,2,No,2,Not Willing,Relevant,1.509,6.332,Tier 3,Matched,Low,Not Required,60,Yes,0,Willing,Not Placed
26,Male,68.415,75.778,63.537,Mechanical,62.731,77.595,65.13,55.169,1,No,4,Not Willing,Relevant,4.643,13.977,Tier 2,Matched,Low,Not Required,0,No,0,Willing,Placed
33,Male,73.407,64.555,70.893,Others,77.536,53.797,62.749,74.369,0,Yes,2,Not Willing,Not Relevant,1.797,7.312,Tier 2,Matched,High,Not Required,0,No,0,Willing,Placed
22,Male,70.003,53.896,55.0,Computer Science,82.539,57.099,47.626,98.691,4,Yes,0,Willing,Not Relevant,2.574,6.361,Tier 2,Matched,Low,Not Required,15,No,0,Willing,Placed
30,Female,63.346,72.375,73.254,Information Technology,66.961,62.224,68.617,58.486,0,No,1,Not Willing,Relevant,7.895,8.198,Tier 3,Not Matched,Low,Not Required,0,No,6,Not Willing,Not Placed
32,Female,66.637,70.994,68.294,Information Technology,69.353,67.609,52.123,55.597,2,Yes,1,Not Willing,Relevant,4.352,6.822,Tier 2,Matched,Medium,Not Required,0,No,6,Not Willing,Not Placed
22,Female,70.003,66.692,76.948,Others,90.082,69.402,54.636,69.699,1,No,0,Willing,Relevant,3.823,3.475,Tier 1,Matched,Medium,Not Required,30,No,18,Willing,Placed
30,Female,65.468,64.087,70.979,Computer Science,59.052,77.12,79.804,66.389,1,No,2,Not Willing,Relevant,3.258,8.6,Tier 3,Matched,Medium,Not Required,60,No,3,Willing,Not Placed
34,Male,57.117,73.422,67.6,Others,58.67,67.351,72.418,55.222,0,Yes,2,Not Willing,Relevant,3.238,8.192,Tier 2,Matched,Low,Not Required,0,No,0,Willing,Not Placed
24,Male,70.003,75.874,75.493,Computer Science,88.418,75.985,87.324,83.48,2,Yes,2,Not Willing,Relevant,6.4,7.426,Tier 1,Not Matched,Low,Not Required,20,No,3,Willing,Placed
34,Male,54.352,76.522,75.552,Electronics,85.644,51.923,54.312,45.719,0,No,1,Not Willing,Relevant,2.574,8.081,Tier 2,Matched,Medium,Not Required,20,No,18,Not Willing,Not Placed
28,Male,71.356,56.6,62.927,Electronics,68.946,65.914,57.317,77.86,1,No,1,Not Willing,Relevant,6.537,7.513,Tier 1,Matched,Medium,Required,0,No,0,Not Willing,Not Placed
34,Female,73.61,68.694,68.263,Electronics,72.627,59.999,66.697,83.781,1,Yes,1,Not Willing,Relevant,6.115,8.703,Tier 3,Matched,Low,Not Required,90,No,12,Not Willing,Not Placed
27,Male,63.275,64.242,87.645,Computer Science,71.411,60.328,59.715,68.154,1,No,3,Not Willing,Not Relevant,7.915,6.959,Tier 1,Not Matched,Medium,Required,15,No,0,Willing,Not Placed
32,Male,73.882,76.604,65.811,Others,69.719,64.481,56.934,74.109,0,No,3,Not Willing,Not Relevant,10.502,13.637,Tier 3,Matched,Low,Not Required,0,Yes,0,Willing,Not Placed
29,Female,66.924,71.32,75.825,Mechanical,45.736,49.959,83.291,65.759,4,No,1,Not Willing,Not Relevant,9.472,3.155,Tier 2,Matched,High,Not Required,0,No,0,Willing,Not Placed
34,Female,70.003,71.008,79.645,Mechanical,77.946,56.706,67.427,67.431,2,Yes,3,Willing,Relevant,5.544,3.426,Tier 3,Matched,Medium,Not Required,60,No,0,Willing,Placed
28,Female,59.565,80.032,74.591,Others,59.636,66.403,61.088,86.813,4,Yes,2,Not Willing,Relevant,3.604,15.599,Tier 3,Matched,Medium,Not Required,0,No,12,Willing,Not Placed
25,Male,79.974,64.275,83.034,Mechanical,56.483,63.89,78.259,100.0,0,No,3,Willing,Relevant,5.654,8.995,Tier 1,Matched,Low,Not Required,15,No,3,Not Willing,Not Placed
33,Male,82.76,74.346,71.053,Mechanical,74.146,67.048,67.175,83.874,0,No,0,Not Willing,Not Relevant,3.524,5.844,Tier 1,Not Matched,Medium,Not Required,30,No,6,Not Willing,Not Placed
22,Female,72.588,56.454,75.166,Information Technology,82.165,58.436,56.547,69.594,2,No,0,Willing,Relevant,5.125,5.334,Tier 2,Matched,Low,Not Required,60,No,3,Willing,Not Placed
25,Female,63.922,65.719,71.035,Mechanical,62.174,83.304,89.154,72.827,3,No,2,Not Willing,Relevant,2.304,8.07,Tier 3,Matched,Medium,Required,30,No,3,Willing,Not Placed
28,Female,70.759,81.541,84.565,Electronics,48.924,64.984,60.287,76.16,3,No,4,Not Willing,Not Relevant,6.893,11.576,Tier 3,Matched,Medium,Not Required,60,No,0,Willing,Not Placed
30,Female,63.796,62.113,73.952,Others,99.256,78.875,49.252,55.221,3,Yes,1,Not Willing,Relevant,5.703,14.224,Tier 3,Matched,Medium,Required,60,No,3,Not Willing,Not Placed
29,Male,59.291,67.022,72.279,Electronics,68.974,40.0,45.0,68.886,1,Yes,3,Not Willing,Not Relevant,3.939,7.841,Tier 2,Not Matched,Low,Not Required,0,No,3,Willing,Not Placed
32,Female,75.628,70.891,83.511,Computer Science,69.487,67.331,93.419,75.337,0,Yes,2,Not Willing,Not Relevant,8.738,5.621,Tier 1,Matched,Low,Not Required,30,No,3,Not Willing,Placed
32,Male,62.031,66.782,74.194,Computer Science,95.694,63.202,62.355,78.795,1,No,2,Willing,Relevant,5.389,7.216,Tier 3,Matched,Low,Not Required,30,No,0,Willing,Placed
32,Female,63.196,61.974,75.354,Mechanical,53.307,58.721,74.984,90.187,1,No,0,Not Willing,Relevant,2.042,3.0,Tier 1,Matched,Low,Required,30,Yes,18,Not Willing,Not Placed
33,Female,52.256,61.177,71.402,Mechanical,69.273,40.0,63.341,52.054,1,No,0,Not Willing,Relevant,5.757,3.264,Tier 1,Not Matched,Low,Not Required,15,No,0,Willing,Not Placed
29,Male,78.508,88.859,82.598,Mechanical,53.94,79.214,65.3,81.728,5,No,0,Not Willing,Relevant,3.64,7.492,Tier 1,Matched,Medium,Not Required,20,No,0,Willing,Not Placed
33,Female,82.061,74.573,73.869,Information Technology,66.89,63.703,73.637,64.887,0,Yes,3,Not Willing,Relevant,6.922,6.693,Tier 2,Matched,High,Required,60,No,0,Willing,Not Placed
33,Female,75.888,84.873,69.644,Others,64.397,68.061,72.404,95.582,1,Yes,1,Not Willing,Not Relevant,3.665,4.549,Tier 1,Not Matched,Low,Required,60,No,0,Not Willing,Not Placed
21,Female,76.492,71.568,72.881,Others,71.394,62.132,74.917,75.967,0,No,2,Not Willing,Relevant,4.654,5.858,Tier 3,Matched,Low,Not Required,30,No,0,Willing,Placed
29,Male,59.287,73.918,70.394,Information Technology,76.885,55.525,83.518,85.341,3,Yes,0,Not Willing,Not Relevant,5.164,6.735,Tier 3,Matched,Low,Required,0,No,0,Willing,Placed
27,Male,67.91,79.531,78.976,Computer Science,66.538,68.99,63.009,65.163,1,Yes,0,Willing,Relevant,7.39,9.719,Tier 2,Matched,Low,Not Required,20,No,0,Not Willing,Not Placed
29,Female,75.822,69.69,72.56,Computer Science,64.932,60.339,76.511,62.313,2,No,0,Not Willing,Relevant,3.134,7.317,Tier 1,Matched,Low,Required,0,No,3,Not Willing,Not Placed
28,Female,62.206,56.085,75.769,Information Technology,40.0,73.941,60.569,75.767,2,Yes,2,Willing,Not Relevant,4.097,4.567,Tier 1,Matched,Low,Not Required,15,No,12,Not Willing,Not Placed
21,Male,66.739,82.484,78.271,Electronics,54.497,59.278,68.671,87.284,0,Yes,0,Not Willing,Not Relevant,1.0,3.0,Tier 2,Not Matched,Low,Not Required,0,No,6,Not Willing,Not Placed
32,Male,56.927,75.376,65.041,Information Technology,72.344,61.644,73.926,69.743,0,Yes,2,Not Willing,Relevant,2.463,11.574,Tier 1,Matched,High,Required,90,No,6,Willing,Not Placed
28,Male,67.58,66.978,61.04,Mechanical,78.893,68.268,64.657,49.741,2,Yes,0,Not Willing,Relevant,4.454,10.598,Tier 2,Matched,Low,Not Required,0,No,6,Willing,Not Placed
28,Female,68.543,81.337,77.522,Computer Science,84.361,77.654,66.095,67.628,2,Yes,1,Not Willing,Relevant,4.521,10.924,Tier 3,Matched,High,Required,0,Yes,0,Willing,Not Placed
31,Female,74.019,84.046,90.769,Electronics,70.326,62.669,74.053,94.15,0,No,0,Willing,Relevant,2.521,8.274,Tier 1,Not Matched,Low,Not Required,90,No,12,Willing,Not Placed
23,Female,56.713,72.061,75.584,Computer Science,57.592,70.282,57.242,67.53,0,No,2,Willing,Relevant,5.027,6.298,Tier 3,Not Matched,Medium,Not Required,30,No,0,Willing,Not Placed
21,Female,56.606,87.384,77.602,Electronics,56.063,47.233,77.509,68.096,1,No,1,Willing,Relevant,4.655,11.535,Tier 3,Matched,Medium,Required,15,No,6,Willing,Not Placed
28,Male,79.85,63.848,74.22,Others,60.335,49.581,80.347,59.277,1,No,0,Willing,Not Relevant,5.547,7.11,Tier 1,Not Matched,Medium,Required,0,No,3,Not Willing,Not Placed
23,Male,78.583,68.537,76.248,Information Technology,59.4,68.161,82.669,76.157,1,Yes,3,Not Willing,Not Relevant,1.543,8.25,Tier 1,Not Matched,Low,Not Required,60,No,6,Not Willing,Not Placed
23,Male,64.842,60.923,70.704,Mechanical,48.063,59.129,68.322,96.087,1,Yes,4,Not Willing,Relevant,5.639,6.885,Tier 2,Not Matched,Medium,Not Required,15,No,0,Not Willing,Not Placed
21,Female,82.213,89.984,59.385,Mechanical,47.414,70.864,78.999,74.247,3,No,4,Not Willing,Not Relevant,7.459,8.295,Tier 1,Matched,Low,Not Required,15,No,0,Willing,Not Placed
31,Male,71.33,80.292,68.323,Information Technology,54.858,68.257,56.202,67.827,0,Yes,1,Not Willing,Not Relevant,2.723,7.737,Tier 3,Matched,Low,Not Required,30,No,0,Willing,Not Placed
25,Female,79.1,75.833,77.169,Electronics,57.194,62.404,68.543,66.574,2,Yes,0,Not Willing,Relevant,6.706,8.611,Tier 1,Not Matched,Low,Required,30,No,0,Not Willing,Not Placed
30,Male,70.003,70.154,59.278,Mechanical,100.0,68.569,65.585,88.419,4,No,2,Not Willing,Not Relevant,4.234,5.819,Tier 1,Matched,Medium,Not Required,90,No,0,Willing,Placed
